               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.054754,            0.027908,            0.010502,             0.51977,              0.3131,             0.32132,             0.15246,            0.051159,            0.028379,            0.011064,             0.00748,             0.00748,             0.00748
                  58,            0.054985,            0.028114,            0.010559,             0.52113,             0.31431,             0.32226,             0.15258,            0.051154,             0.02838,            0.011054,            0.007435,            0.007435,            0.007435
                  59,            0.054846,            0.028375,            0.010554,             0.52092,             0.31465,             0.32235,              0.1527,            0.051147,             0.02838,            0.011046,             0.00739,             0.00739,             0.00739
                  60,            0.055024,            0.028201,            0.010551,             0.52432,              0.3147,             0.32245,              0.1526,            0.051136,            0.028378,            0.011041,            0.007345,            0.007345,            0.007345
                  61,            0.054704,            0.027967,            0.010484,             0.52295,             0.31637,             0.32303,             0.15271,            0.051129,            0.028382,            0.011033,              0.0073,              0.0073,              0.0073
                  62,            0.054732,            0.027997,            0.010422,             0.52648,             0.31696,             0.32325,             0.15284,            0.051121,            0.028383,            0.011035,            0.007255,            0.007255,            0.007255
                  63,            0.054731,            0.028238,            0.010385,             0.52781,             0.31692,             0.32336,             0.15298,            0.051115,            0.028381,            0.011038,             0.00721,             0.00721,             0.00721
                  64,            0.054482,            0.027938,            0.010398,             0.53108,             0.31596,              0.3233,             0.15296,             0.05111,             0.02838,            0.011041,            0.007165,            0.007165,            0.007165
                  65,            0.054716,            0.028139,            0.010416,             0.52931,             0.31602,             0.32349,             0.15302,            0.051103,             0.02838,            0.011042,             0.00712,             0.00712,             0.00712
                  66,            0.054548,            0.027882,            0.010267,             0.52986,             0.31726,              0.3235,             0.15298,            0.051098,            0.028377,            0.011043,            0.007075,            0.007075,            0.007075
                  67,            0.054569,            0.028097,            0.010348,             0.52266,             0.31856,             0.32341,               0.153,            0.051091,            0.028373,            0.011051,             0.00703,             0.00703,             0.00703
                  68,            0.054403,            0.027739,            0.010302,             0.52676,             0.31944,             0.32409,             0.15326,             0.05108,            0.028372,            0.011054,            0.006985,            0.006985,            0.006985
                  69,            0.054586,            0.028004,            0.010329,             0.52436,             0.32043,             0.32398,              0.1533,            0.051071,            0.028366,            0.011058,             0.00694,             0.00694,             0.00694
                  70,            0.054395,            0.027957,             0.01022,             0.52226,             0.32184,              0.3239,              0.1534,            0.051058,             0.02836,            0.011058,            0.006895,            0.006895,            0.006895
                  71,            0.054429,            0.027727,            0.010268,             0.52833,             0.32229,              0.3245,             0.15346,            0.051049,            0.028353,            0.011068,             0.00685,             0.00685,             0.00685
                  72,            0.054359,            0.028003,            0.010272,               0.526,             0.32205,             0.32435,             0.15338,            0.051044,            0.028348,             0.01107,            0.006805,            0.006805,            0.006805
                  73,            0.054249,            0.027886,            0.010219,              0.5273,             0.32167,             0.32454,             0.15332,            0.051035,            0.028339,            0.011076,             0.00676,             0.00676,             0.00676
