               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,             0.06046,            0.031109,            0.010895,             0.52493,             0.31406,             0.32787,             0.15666,            0.055799,            0.030286,            0.011746,             0.00721,             0.00721,             0.00721
                  64,            0.060277,             0.03075,            0.010905,             0.52165,             0.31489,             0.32797,             0.15686,            0.055787,            0.030282,            0.011746,            0.007165,            0.007165,            0.007165
                  65,            0.060543,            0.031044,             0.01094,             0.53031,             0.31248,             0.32785,             0.15698,            0.055781,            0.030284,            0.011745,             0.00712,             0.00712,             0.00712
                  66,            0.060346,            0.030737,             0.01081,             0.52151,             0.31467,             0.32806,             0.15705,            0.055774,            0.030278,             0.01174,            0.007075,            0.007075,            0.007075
                  67,            0.060293,             0.03093,            0.010773,             0.52841,             0.31314,             0.32817,             0.15709,            0.055763,            0.030274,            0.011741,             0.00703,             0.00703,             0.00703
                  68,            0.060117,            0.030561,            0.010732,             0.52799,             0.31276,             0.32793,             0.15705,            0.055759,            0.030274,            0.011742,            0.006985,            0.006985,            0.006985
                  69,            0.060344,            0.030814,            0.010852,             0.52935,             0.31318,             0.32845,             0.15729,            0.055749,             0.03027,             0.01174,             0.00694,             0.00694,             0.00694
                  70,            0.060185,            0.030784,            0.010736,             0.54001,             0.31049,             0.32822,             0.15752,            0.055736,            0.030269,            0.011739,            0.006895,            0.006895,            0.006895
                  71,            0.060092,            0.030604,            0.010726,             0.54056,             0.31107,              0.3283,             0.15758,            0.055725,            0.030268,            0.011746,             0.00685,             0.00685,             0.00685
                  72,            0.060106,            0.030818,            0.010742,             0.53505,             0.31249,             0.32797,             0.15756,            0.055714,            0.030267,            0.011755,            0.006805,            0.006805,            0.006805
                  73,            0.060036,            0.030718,            0.010698,             0.53277,              0.3136,             0.32804,             0.15775,            0.055701,            0.030263,            0.011758,             0.00676,             0.00676,             0.00676
                  74,            0.060052,            0.030603,            0.010655,             0.53425,             0.31374,             0.32889,               0.158,            0.055696,            0.030259,            0.011758,            0.006715,            0.006715,            0.006715
                  75,            0.059834,            0.030744,            0.010616,             0.53523,             0.31362,             0.32887,             0.15792,            0.055695,            0.030255,            0.011763,             0.00667,             0.00667,             0.00667
                  76,            0.059956,             0.03067,            0.010673,             0.53302,             0.31462,             0.32884,             0.15791,            0.055685,            0.030251,            0.011764,            0.006625,            0.006625,            0.006625
